StreetName,StreetType,PostDirection
GATEVIEW,AVE,
GENERAL KENNEDY,AVE,
GENEVA,AVE,
GILLETTE,AVE,
GILMAN,AVE,
GLENBROOK,AVE,
GOLDEN GATE,AVE,
GOLETA,AVE,
GORGAS,AVE,
GRAFTON,AVE,
GRANADA,AVE,
GRAND VIEW,AVE,
GRANT,AVE,
GREENOUGH,AVE,
GREENWOOD,AVE,
HAMERTON,AVE,
HARDIE,AVE,
HARKNESS,AVE,
HAROLD,AVE,
HAZELWOOD,AVE,
HEALY,AVE,
HEARST,AVE,
HEATHER,AVE,
HERNANDEZ,AVE,
HESTER,AVE,
HEYMAN,AVE,
HIGHLAND,AVE,
HIGUERA,AVE,
HILIRITAS,AVE,
HILL POINT,AVE,
HILLWAY,AVE,
HOFFMAN,AVE,
HOLLADAY,AVE,
HOLLISTER,AVE,
HOLLOWAY,AVE,
HOPKINS,AVE,
HORNE,AVE,
HUDSON,AVE,
HURON,AVE,
IDORA,AVE,
IGNACIO,AVE,
INGERSON,AVE,
INNES,AVE,
IRIS,AVE,
ISSLEIB,AVE,
ITALY,AVE,
JAMESTOWN,AVE,
JARBOE,AVE,
JERROLD,AVE,
JOOST,AVE,
JORDAN,AVE,
JOSEPHA,AVE,
JOSIAH,AVE,
JUDSON,AVE,
JULES,AVE,
JULIAN,AVE,
KELLOCH,AVE,
KEMPTON,AVE,
KEY,AVE,
KEYES,AVE,
KIRKWOOD,AVE,
KOBBE,AVE,
LA GRANDE,AVE,
LA SALLE,AVE,
LAKEVIEW,AVE,
LAKEWOOD,AVE,
LANSDALE,AVE,
LATHROP,AVE,
LAWRENCE,AVE,
LE CONTE,AVE,
LEE,AVE,
LELAND,AVE,
LIGGETT,AVE,
LINARES,AVE,
LIPPARD,AVE,
LOCKSLEY,AVE,
LOMITA,AVE,
LONG,AVE,
LOPEZ,AVE,
LUPINE,AVE,
LYDIA,AVE,
MACARTHUR,AVE,
MADDUX,AVE,
MADRONE,AVE,
MAGELLAN,AVE,
MAJESTIC,AVE,
MANGELS,AVE,
MANZANITA,AVE,
MARCELA,AVE,
MARGARET,AVE,
MARNE,AVE,
MARSTON,AVE,
MARTHA,AVE,
MASONIC,AVE,
MCCARTHY,AVE,
MCDOWELL,AVE,
MCKINLEY,AVE,
MCKINNON,AVE,
MCLAREN,AVE,
MEADE,AVE,
MEDA,AVE,
MELBA,AVE,
MELROSE,AVE,
MENDOSA,AVE,
MERCED,AVE,
MESA,AVE,
MIRABEL,AVE,
MIRAMAR,AVE,
MODOC,AVE,
MONTALVO,AVE,
MONTECITO,AVE,
MORAGA,AVE,
MOUNT VERNON,AVE,
MOUNTAIN SPRING,AVE,
MULLEN,AVE,
NAGLEE,AVE,
NAHUA,AVE,
NANTUCKET,AVE,
NAVAJO,AVE,
NELSON,AVE,
NEWCOMB,AVE,
NIAGARA,AVE,
NIANTIC,AVE,
NIDO,AVE,
NIMITZ,AVE,
NORTH 15TH,AVE,
NUEVA,AVE,
OAKDALE,AVE,
OCEAN,AVE,
OGDEN,AVE,
OLNEY,AVE,
OLORAN,AVE,
ONEIDA,AVE,
ONONDAGA,AVE,
OREILLY,AVE,
ORIZABA,AVE,
OTEGA,AVE,
OTSEGO,AVE,
OTTAWA,AVE,
PACIFIC,AVE,
PALM,AVE,
PALMETTO,AVE,
PALO ALTO,AVE,
PALOMA,AVE,
PALOU,AVE,
PARADISE,AVE,
PARK HILL,AVE,
PARKER,AVE,
PARNASSUS,AVE,
PAUL,AVE,
PENINSULA,AVE,
PENNSYLVANIA,AVE,
PERALTA,AVE,
PERASTO,AVE,
PERSIA,AVE,
PERU,AVE,
PETERS,AVE,
PICO,AVE,
PILGRIM,AVE,
PINTO,AVE,
PLYMOUTH,AVE,
POINT LOBOS,AVE,
POTRERO,AVE,
POWERS,AVE,
POWHATTAN,AVE,
PRECITA,AVE,
PRESIDIO,AVE,
PROSPECT,AVE,
PULASKI,AVE,
QUEBEC,AVE,
QUESADA,AVE,
RAE,AVE,
RALSTON,AVE,
RAMONA,AVE,
RAYMOND,AVE,
REVERE,AVE,
REX,AVE,
RICHARDSON,AVE,
RICHLAND,AVE,
RICHTER,AVE,
RIDGEWOOD,AVE,
RILEY,AVE,
RIVAS,AVE,
ROBBLEE,AVE,
ROCKAWAY,AVE,
ROSSI,AVE,
RUCKMAN,AVE,
RUDDEN,AVE,
RUSSIA,AVE,
SAINT CHARLES,AVE,
SAINT GERMAIN,AVE,
SAINT JOSEPHS,AVE,
SAINT MARYS,AVE,
SALINAS,AVE,
SAMPSON,AVE,
SAN ALESO,AVE,
SAN ANSELMO,AVE,
SAN BRUNO,AVE,
SAN DIEGO,AVE,
SAN FELIPE,AVE,
SAN GABRIEL,AVE,
SAN JOSE,AVE,
SAN JUAN,AVE,
SAN LUIS,AVE,
SAN MARCOS,AVE,
SAN PABLO,AVE,
SANTA ANA,AVE,
SANTA BARBARA,AVE,
SANTA CLARA,AVE,
SANTA CRUZ,AVE,
SANTA FE,AVE,
SANTA PAULA,AVE,
SANTA RITA,AVE,
SANTA ROSA,AVE,
SANTA YNEZ,AVE,
SANTA YSABEL,AVE,
SCOTIA,AVE,
SEACLIFF,AVE,
SEMINOLE,AVE,
SENECA,AVE,
SHAFTER,AVE,
SHAWNEE,AVE,
SHERIDAN,AVE,
SHORE VIEW,AVE,
SHOUP,AVE,
SICKLES,AVE,
SILVER,AVE,
SOLA,AVE,
SOTELO,AVE,
SOUTH VAN NESS,AVE,
SOUTHERN HEIGHTS,AVE,
SPEAR,AVE,
STANDISH,AVE,
STANFORD HEIGHTS,AVE,
STAPLES,AVE,
STILLINGS,AVE,
STONEYBROOK,AVE,
STONEYFORD,AVE,
STOREY,AVE,
SUMNER,AVE,
SUNNYDALE,AVE,
SUTRO HEIGHTS,AVE,
SWISS,AVE,
TEDDY,AVE,
TERRA VISTA,AVE,
THOMAS,AVE,
THOR,AVE,
THORNTON,AVE,
TIFFANY,AVE,
TIOGA,AVE,
TOCOLOMA,AVE,
TOMPKINS,AVE,
TOPEKA,AVE,
TORNEY,AVE,
TOWERSIDE,AVE,
TREAT,AVE,
TUCKER,AVE,
TUNNEL,AVE,
UNDERWOOD,AVE,
UPTON,AVE,
VALDEZ,AVE,
VALE,AVE,
VAN DYKE,AVE,
VAN KEUREN,AVE,
VAN NESS,AVE,
VARELA,AVE,
VASQUEZ,AVE,
VELASCO,AVE,
VENTURA,AVE,
VIRGINIA,AVE,
VISITACION,AVE,
WALLACE,AVE,
WATT,AVE,
WEST PACIFIC,AVE,
WEST PORTAL,AVE,
WEST VIEW,AVE,
WHEELER,AVE,
WHIPPLE,AVE,
WILDE,AVE,
WILLIAMS,AVE,
WILLIAR,AVE,
WOODLAND,AVE,
WOODSIDE,AVE,
WORCESTER,AVE,
WYMAN,AVE,
YERBA BUENA,AVE,
YOSEMITE,AVE,
ZANOWITZ,AVE,
MARTIN,AVE,
BUENA VISTA,AVE,EAST
BURNETT,AVE,NORTH
BUENA VISTA,AVE,WEST
25TH,AVE,NORTH
ALEMANY,BLVD,
ARGUELLO,BLVD,
BAY SHORE,BLVD,
BERNAL HEIGHTS,BLVD,
CERVANTES,BLVD,
CLAREMONT,BLVD,
DEWEY,BLVD,
DIAMOND HEIGHTS,BLVD,
EXECUTIVE PARK,BLVD,
FONT,BLVD,
GEARY,BLVD,
HARRISON,BLVD,
HUNTERS POINT,BLVD,
JUNIPERO SERRA,BLVD,
LAGUNA HONDA,BLVD,
LAKE MERCED,BLVD,
LINCOLN,BLVD,
MARINA,BLVD,
MONTEREY,BLVD,
OSHAUGHNESSY,BLVD,
PARK,BLVD,
PARK PRESIDIO,BLVD,
PRESIDIO,BLVD,
SAINT FRANCIS,BLVD,
SKYLINE,BLVD,
SLOAT,BLVD,
SOUTH HILL,BLVD,
STANYAN,BLVD,
SUNSET,BLVD,
TELEGRAPH HILL,BLVD,
TERESITA,BLVD,
TERRY A FRANCOIS,BLVD,
TURK,BLVD,
TWIN PEAKS,BLVD,
WASHINGTON,BLVD,
MISSION BAY,BLVD,SOUTH
MISSION BAY,BLVD,NORTH
ATOLL,CIR,
BAYVIEW,CIR,
CLOUD,CIR,
GALEWOOD,CIR,
HOLLY PARK,CIR,
JUAN BAUTISTA,CIR,
LE CONTE,CIR,
LINDSAY,CIR,
MISSION BAY,CIR,
ORSI,CIR,
RICHARDS,CIR,
SCIENCE,CIR,
THOMAS MELLON,CIR,
WHITNEY YOUNG,CIR,
ADA,CT,
ADELE,CT,
ADOLPH SUTRO,CT,
ALBATROSS,CT,
ALMADEN,CT,
ARDATH,CT,
ASPEN,CT,
BAKER,CT,
BALDWIN,CT,
BALHI,CT,
BARRY,CT,
BASS,CT,
BAYWOOD,CT,
BELL,CT,
BIGELOW,CT,
BIRCHWOOD,CT,
BLACKSTONE,CT,
BLISS,CT,
BOWLEY,CT,
BOWMAN,CT,
BOYNTON,CT,
BYRON,CT,
CARPENTER,CT,
CASSANDRA,CT,
CATHERINE,CT,
CHARLTON,CT,
CHASE,CT,
CHINOOK,CT,
CLAIRVIEW,CT,
CLEARVIEW,CT,
CLEARY,CT,
COMMER,CT,
CORAL,CT,
COVENTRY,CT,
CRAGS,CT,
CRAIG,CT,
CRESCENT,CT,
CRESCIO,CT,
CROAKER,CT,
CROWN,CT,
CUESTA,CT,
DANIEL BURNHAM,CT,
DAVIS,CT,
DEDMAN,CT,
DICHIERA,CT,
DOLPHIN,CT,
DUKES,CT,
EL SERENO,CT,
EMMETT,CT,
ENCLINE,CT,
ENTRADA,CT,
ERKSON,CT,
FARVIEW,CT,
FLOUNDER,CT,
FRATESSA,CT,
FREDSON,CT,
FREEMAN,CT,
FRENCH,CT,
FRIENDSHIP,CT,
GAISER,CT,
GARLINGTON,CT,
GATEVIEW,CT,
GATEVIEW 1,CT,
GATEVIEW 2,CT,
GATEVIEW 3,CT,
GEORGE,CT,
GIBBON,CT,
GLEN,CT,
GLORIA,CT,
GOLDEN,CT,
GREELY,CT,
GREENVIEW,CT,
GREENWICH,CT,
HALIBUT,CT,
HALYBURTON,CT,
HILLCREST,CT,
HILLVIEW,CT,
HOLLAND,CT,
HOLLYWOOD,CT,
HOMEWOOD,CT,
HOWARD,CT,
HUTCHINS,CT,
INA,CT,
INNES,CT,
JAKEY,CT,
JASON,CT,
JENNINGS,CT,
JOSE SARRIA,CT,
KAMILLE,CT,
KAREN,CT,
KEPPLER,CT,
KNOTT,CT,
KRONQUIST,CT,
LAKE FOREST,CT,
LANGDON,CT,
LAS VILLAS,CT,
LAUREN,CT,
LEGION,CT,
LENDRUM,CT,
LESTER,CT,
LINCOLN,CT,
LONGVIEW,CT,
LORAINE,CT,
LUNADO,CT,
MABREY,CT,
MACALLA,CT,
MARIST,CT,
MARLIN,CT,
MARVEL,CT,
MASON,CT,
MATTHEW,CT,
MAXWELL,CT,
MCLEA,CT,
MCNAIR,CT,
MELRA,CT,
MERCATO,CT,
MILES,CT,
MONETA,CT,
MOUNTVIEW,CT,
MUIR,CT,
NADELL,CT,
NIBBI,CT,
NORTH VIEW,CT,
ORD,CT,
OZBOURN,CT,
PATTON,CT,
POPE,CT,
PRESCOTT,CT,
RAMSEL,CT,
RED LEAF,CT,
REEVES,CT,
REUEL,CT,
RIDGE,CT,
RIO,CT,
ROCKWOOD,CT,
ROSELLA,CT,
ROSEMARY,CT,
SCHOFIELD,CT,
SHAFTER,CT,
SHERWOOD,CT,
STERN GROVE,CT,
TALBERT,CT,
THOMAS,CT,
TOMASO,CT,
TORRENS,CT,
VALERTON,CT,
VALLETTA,CT,
VINTON,CT,
VISTA,CT,
VISTA VERDE,CT,
VISTA VIEW,CT,
WALKER,CT,
WESTBROOK,CT,
WESTON,CT,
WHITFIELD,CT,
WISSER,CT,
WOODHAVEN,CT,
WOOL,CT,
WRIGHT,CT,
YOUNG,CT,
AMBER,DR,
ARBALLO,DR,
ARELIOUS WALKER,DR,
ARMORY,DR,
AUTO,DR,
AUTOMOBILE,DR,
BANBURY,DR,
BAYSIDE,DR,
BEACHMONT,DR,
BOWLING GREEN,DR,
BRIDGEVIEW,DR,
BROADMOOR,DR,
BUCARELI,DR,
BURLWOOD,DR,
BURROWS,DR,
CALVERT,DR,
CAMBON,DR,
CANYON,DR,
CHAIN OF LAKES,DR,
CHRISTOPHER,DR,
CHUMASERO,DR,
CIELITO,DR,
CLEARFIELD,DR,
CONCOURSE,DR,
COUNTRY CLUB,DR,
CRANLEIGH,DR,
CRESPI,DR,
CRESTA VISTA,DR,
CRESTLAKE,DR,
CRESTLINE,DR,
CRESTMONT,DR,
CROSSOVER,DR,
DENSLOWE,DR,
EASTWOOD,DR,
ELMHURST,DR,
ESQUINA,DR,
EUCALYPTUS,DR,
EVERGLADE,DR,
EXPOSITION,DR,
FERNWOOD,DR,
FOREST KNOLLS,DR,
FOREST VIEW,DR,
GARCES,DR,
GARDENSIDE,DR,
GELLERT,DR,
GIANTS,DR,
GLADSTONE,DR,
GLENVIEW,DR,
GOLD MINE,DR,
GONZALEZ,DR,
GRIJALVA,DR,
HAGIWARA TEA GARDEN,DR,
HAVENSIDE,DR,
HILL,DR,
HUNTINGTON,DR,
INVERNESS,DR,
JOHN F KENNEDY,DR,
JOHN F SHELLEY,DR,
JOHN MUIR,DR,
JOHNSTONE,DR,
JUSTIN,DR,
KENDALL,DR,
KEZAR,DR,
LAGUNITAS,DR,
LAKESHORE,DR,
LEGION OF HONOR,DR,
LETTERMAN,DR,
LOS PALMOS,DR,
LYNDHURST,DR,
MAIN,DR,
MALTA,DR,
MANOR,DR,
MARIETTA,DR,
MARINA GREEN,DR,
MARINE,DR,
MARINER,DR,
MARTIN LUTHER KING JR,DR,
MAYFAIR,DR,
MAYWOOD,DR,
MEADOWBROOK,DR,
MEGAN,DR,
MIDDLE WEST,DR,
MIDDLEFIELD,DR,
MIRALOMA,DR,
MISSION BAY,DR,
MOLIMO,DR,
MONTE VISTA,DR,
MORNINGSIDE,DR,
MUSIC CONCOURSE,DR,
NANCY PELOSI,DR,
NAUTILUS,DR,
NIMITZ,DR,
NORTH,DR,
NORTHGATE,DR,
NORTHPOINT,DR,
NORTHWOOD,DR,
OAK PARK,DR,
OVERLOOK,DR,
PANORAMA,DR,
PARK PRESIDIO BYPASS,DR,
PARKRIDGE,DR,
PARQUE,DR,
PERSHING,DR,
PORTAL,DR,
PORTOLA,DR,
RACCOON,DR,
RAVENWOOD,DR,
RIVERTON,DR,
ROBINHOOD,DR,
ROBINSON,DR,
ROCKDALE,DR,
ROCKRIDGE,DR,
ROSEWOOD,DR,
ROSSMOOR,DR,
SADDLEBACK,DR,
SAINT CROIX,DR,
SEAL ROCK,DR,
SECOND,DR,
SERRANO,DR,
SILVERVIEW,DR,
SOUTH,DR,
SOUTHWOOD,DR,
SPRECKELS LAKE,DR,
SPRINGFIELD,DR,
STATE,DR,
STONECREST,DR,
STOW LAKE,DR,
STRATFORD,DR,
SUNVIEW,DR,
SYLVAN,DR,
TAPIA,DR,
TERRACE,DR,
THOMAS MELLON,DR,
TRANSVERSE,DR,
UPLAND,DR,
URBANO,DR,
VETERANS,DR,
VIDAL,DR,
WARREN,DR,
WESTGATE,DR,
WESTMOORLAND,DR,
WESTSIDE,DR,
WESTWOOD,DR,
WILLIE B KENNEDY,DR,
WINSTON,DR,
WOODACRE,DR,
YERBA BUENA,DR,
PALACE,DR,
CONSERVATORY,DR,EAST
FIRST,DR,EAST
CONSERVATORY,DR,WEST
FIRST,DR,WEST
HUNTERS POINT,EXPY,
KNOCKASH,HL,
GREAT,HWY,
AMATISTA,LN,
ARBOL,LN,
ASHWOOD,LN,
BEATRICE,LN,
BEEMAN,LN,
BERTHA,LN,
BERTIE MINOR,LN,
BLAIRWOOD,LN,
BLATCHFORD,LN,
BONNIE BRAE,LN,
BROOKHAVEN,LN,
BRUSH,LN,
CAMPUS,LN,
CANBY,LN,
CHANCERY,LN,
CHULA,LN,
CLARKE,LN,
CLAUDE,LN,
CLOVER,LN,
CORALINO,LN,
COVENTRY,LN,
DAVENPORT,LN,
EMERALD,LN,
EMERY,LN,
EMIL,LN,
FARNSWORTH,LN,
FAUNTLEROY,LN,
FENTON,LN,
FORSYTH,LN,
FREDELA,LN,
GALILEE,LN,
GALLAGHER,LN,
GIBBON,LN,
GLADIOLUS,LN,
GLENHAVEN,LN,
GOLDBERG,LN,
GOLDING,LN,
HARRIET,LN,
HAWKINS,LN,
HERITAGE,LN,
HILLSIDE,LN,
HITCHCOCK,LN,
ILS,LN,
INCA,LN,
ISADORA DUNCAN,LN,
KAPLAN,LN,
KEARNY,LN,
LAMSON,LN,
LANCASTER,LN,
LETTUCE,LN,
LOIS,LN,
LORI,LN,
LOTTIE BENNETT,LN,
LUNDYS,LN,
MACONDRAY,LN,
MAIDEN,LN,
MANDALAY,LN,
MARK,LN,
MCRAE,LN,
MENOHER,LN,
MERRIAM,LN,
MOORE,LN,
MOUNT,LN,
MURRAY,LN,
NAPIER,LN,
NELSON RISING,LN,
NIMITZ,LN,
NORTH HUGHES,LN,
NORTH VAN HORN,LN,
OAKHURST,LN,
OLD CHINATOWN,LN,
ONIQUE,LN,
OPALO,LN,
OSCEOLA,LN,
PEEK,LN,
PENNY,LN,
PIERPOINT,LN,
PINAR,LN,
POPPY,LN,
QUICKSTEP,LN,
RACINE,LN,
REBECCA,LN,
RIDGE,LN,
ROBERT KIRK,LN,
ROSA PARKS,LN,
ROSIE LEE,LN,
ROYAL,LN,
SAFIRA,LN,
SEAWELL,LN,
SIBERT,LN,
SMITH,LN,
SONORA,LN,
SOULE,LN,
SOUTH HUGHES,LN,
SOUTH VAN HORN,LN,
SPROULE,LN,
STONERIDGE,LN,
SUNBEAM,LN,
SUNGLOW,LN,
TAMPA,LN,
THORP,LN,
TOYON,LN,
TREAT,LN,
TURK MURPHY,LN,
VISTA,LN,
WESTERN SHORE,LN,
WYTON,LN,
YERBA BUENA,LN,
ZAMPA,LN,
PALM,LN,
STEUART,LN,
AMATURY,LOOP,
DOVE,LOOP,
EL POLIN,LOOP,
FISHER,LOOP,
MUIR,LOOP,
PIPER,LOOP,
SIBERT,LOOP,
SIMONDS,LOOP,
WRIGHT,LOOP,
CLINTON,PARK,
ELGIN,PARK,
PUBLIC,PARK,
FOREST HILL,PATH,
INGLESIDE,PATH,
PERIMETER,PATH,
PORTAL,PATH,
ALICE B TOKLAS,PL,
ANSON,PL,
ASHBURTON,PL,
BANNAN,PL,
BAYSIDE VILLAGE,PL,
BEDFORD,PL,
BELLAIR,PL,
BERWICK,PL,
BLACK,PL,
BOARDMAN,PL,
BREEN,PL,
BROMLEY,PL,
BROOKLYN,PL,
BRUSH,PL,
BURNS,PL,
BUTTE,PL,
CADELL,PL,
CAMPTON,PL,
CENTURY,PL,
CHARLES J BRENHAM,PL,
CHATHAM,PL,
CLARENCE,PL,
CODMAN,PL,
COHEN,PL,
COLIN,PL,
COLUSA,PL,
CORBIN,PL,
COSMO,PL,
COWELL,PL,
CUNNINGHAM,PL,
CUSTOM HOUSE,PL,
CYRUS,PL,
DARRELL,PL,
DAWSON,PL,
DELGADO,PL,
DIRK DIRKSEN,PL,
DOW,PL,
DR CARLTON B GOODLETT,PL,
EATON,PL,
EDGARDO,PL,
EL MIRASOL,PL,
EWER,PL,
EXCHANGE,PL,
FALLON,PL,
FARGO,PL,
FELLA,PL,
GENOA,PL,
GROTE,PL,
GUY,PL,
HARDIE,PL,
HARLAN,PL,
HARRIS,PL,
HIMMELMANN,PL,
HOTALING,PL,
JADE,PL,
JAMES,PL,
JASPER,PL,
JENNIFER,PL,
KENNEDY,PL,
KENNETH REXROTH,PL,
KIMBALL,PL,
KOHLER,PL,
KRAMER,PL,
KRAUSGRILL,PL,
LEROY,PL,
LICK,PL,
MALVINA,PL,
MARCY,PL,
MARGRAVE,PL,
MARION,PL,
MARK TWAIN,PL,
MEACHAM,PL,
MEDAU,PL,
MILLER,PL,
MONTAGUE,PL,
MOORE,PL,
MORRELL,PL,
NOB HILL,PL,
NOTTINGHAM,PL,
OPAL,PL,
ORBEN,PL,
OSGOOD,PL,
PAGODA,PL,
PALOS,PL,
PARAISO,PL,
PELTON,PL,
PEMBERTON,PL,
PERINE,PL,
PETRARCH,PL,
POLLARD,PL,
PRATT,PL,
RENO,PL,
RICHARD HENRY DANA,PL,
RONDEL,PL,
ROSEMONT,PL,
RUSSIAN HILL,PL,
SABIN,PL,
SAINT FRANCIS,PL,
SAN ANTONIO,PL,
SAROYAN,PL,
SECURITY PACIFIC,PL,
SHARP,PL,
SHEPHARD,PL,
SOUTHARD,PL,
STEVELOE,PL,
TABER,PL,
TELEGRAPH,PL,
TENNY,PL,
TILLMAN,PL,
TIMOTHY PFLUEGER,PL,
TREASURY,PL,
VARNEY,PL,
VASSAR,PL,
VER MEHR,PL,
VERDI,PL,
WALL,PL,
WALTER U LUM,PL,
WARNER,PL,
WATTSON,PL,
WAVERLY,PL,
WAYNE,PL,
WEBB,PL,
WENTWORTH,PL,
WINDSOR,PL,
WINTER,PL,
ZENO,PL,
ZIRCON,PL,
DR TOM WADDELL,PL,
LAKESHORE,PLZ,
MINT,PLZ,
UNITED NATIONS,PLZ,
ALEMANY BLVD OFF,RAMP,
BAY SHORE BLVD OFF,RAMP,
BAY SHORE BLVD ON,RAMP,
CESAR CHAVEZ ON,RAMP,
HWY 1 TO HWY 101 NORTHBOUND,RAMP,
HWY 1 TO HWY 101 SOUTHBOUND,RAMP,
HWY 101 N OFF,RAMP,
HWY 101 N ON,RAMP,
HWY 101 NORTHBOUND,RAMP,
HWY 101 S OFF,RAMP,
HWY 101 S ON,RAMP,
HWY 101 SOUTHBOUND,RAMP,
HWY 101 TO HWY 1,RAMP,
HWY 101 TO I-280,RAMP,
HWY 101 TO I-80,RAMP,
I-280 N OFF,RAMP,
I-280 N ON,RAMP,
I-280 S OFF,RAMP,
I-280 S ON,RAMP,
I-280 TO HWY 101,RAMP,
I-80 E OFF,RAMP,
I-80 E ON,RAMP,
I-80 TO HWY 101,RAMP,
I-80 W OFF,RAMP,
I-80 W ON,RAMP,
INDUSTRIAL ST OFF,RAMP,
INDUSTRIAL ST ON,RAMP,
JUNIPERO SERRA BLVD OFF,RAMP,
